SEASON_STR,TEAM_ID,TEAM_NAME,games,wins,losses,ppg,fg_pct,fg3_pct,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,plus_minus,win_pct,home_games,home_wins,home_losses,home_win_pct,away_games,away_wins,away_losses,away_win_pct,opp_ppg,opp_fg_pct,opp_fg3_pct,point_diff,fg_pct_diff,fg3_pct_diff,playoff_team,assist_turnover_ratio,home_away_gap,opp_reb,opp_ast,opp_tov,reb_diff,ast_diff,tov_diff,fgm,fg3m,fga,fta,ftm,poss,pace,efg_pct,ts_pct,ortg,drtg,net_rating,TEAM_KEY
1983-84,1610612737.0,Atlanta Hawks,5,2,3,93.6,0.4224,0.2666,0.7946,13.6,24.4,38.0,20.6,7.8,4.6,15.6,,0.4,2,2,0,1.0,3,0,3,0.0,99.49549549549549,0.4599954954954955,0.33461538461538465,-5.895495495495496,-0.03759549549549551,-0.06801538461538464,1,1.3205128205128207,1.0,43.013513513513516,21.594594594594593,13.076576576576576,-5.013513513513516,-0.9945945945945915,-2.5234234234234236,34.0,0.4,80.8,31.8,25.2,96.792,96.792,0.4232673267326733,0.4937125495822432,96.70220679394991,102.79309808196493,-6.0908912880150154,1983-84_Atlanta Hawks
1983-84,1610612738.0,Boston Celtics,23,15,8,110.95652173913044,0.47452173913043477,0.3511818181818182,0.7823478260869565,15.478260869565217,28.391304347826086,43.869565217391305,23.043478260869566,8.565217391304348,5.3478260869565215,15.695652173913043,,0.6521739130434783,13,12,1,0.9230769230769231,10,3,7,0.3,101.40322580645162,0.4527811059907834,0.32395591647331784,9.553295932678822,0.021740633139651355,0.027225901708500366,1,1.4681440443213298,0.6230769230769231,41.44700460829493,21.638248847926267,13.011520737327189,2.4225606090963723,1.4052294129432994,-2.6841314365858544,41.34782608695652,0.9130434782608695,87.43478260869566,34.869565217391305,27.347826086956523,102.99478260869566,102.99478260869566,0.47812033814022875,0.5397905139008748,107.73023538549863,98.45472094611745,9.275514439381183,1983-84_Boston Celtics
1983-84,1610612742.0,Dallas Mavericks,10,4,6,101.7,0.44020000000000004,0.09877777777777778,0.8358000000000001,15.9,27.3,43.2,21.7,5.7,3.6,13.0,,0.4,5,3,2,0.6,5,1,4,0.2,104.37349397590361,0.4729558232931727,0.3583951612903226,-2.673493975903611,-0.03275582329317267,-0.2596173835125448,1,1.669230769230769,0.39999999999999997,42.78313253012048,21.87550200803213,12.586345381526105,0.41686746987952006,-0.17550200803212945,-0.4136546184738954,39.7,0.5,90.1,26.1,21.8,98.68399999999998,98.68399999999998,0.4433962264150944,0.5005709560560719,103.05621985326904,105.76536619503024,-2.7091463417611976,1983-84_Dallas Mavericks
1983-84,1610612743.0,Denver Nuggets,5,2,3,121.8,0.5065999999999999,0.2428,0.851,13.2,28.8,42.0,27.0,8.4,4.6,15.0,,0.4,2,1,1,0.5,3,1,2,0.3333333333333333,108.73362445414847,0.47432751091703057,0.33117467248908294,13.066375545851528,0.03227248908296937,-0.08837467248908296,1,1.8,0.16666666666666669,43.18777292576419,23.91703056768559,13.266375545851528,-1.1877729257641931,3.0829694323144103,-1.7336244541484724,48.0,2.0,94.8,27.6,23.8,108.744,108.744,0.5168776371308017,0.5694569120287253,112.0061796512911,99.99045874176825,12.015720909522855,1983-84_Denver Nuggets
1983-84,1610612747.0,Los Angeles Lakers,21,14,7,117.19047619047619,0.5345238095238095,0.2780526315789474,0.7185714285714285,13.142857142857142,29.857142857142858,43.0,30.285714285714285,8.238095238095237,6.809523809523809,15.904761904761905,,0.6666666666666666,11,9,2,0.8181818181818182,10,5,5,0.5,101.44690265486726,0.45481858407079645,0.33241241685144124,15.743573535608931,0.07970522545301306,-0.054359785272493855,1,1.904191616766467,0.31818181818181823,41.38495575221239,22.884955752212388,13.258849557522124,1.6150442477876084,7.400758533501897,-2.645912347239781,47.80952380952381,1.0,89.57142857142857,28.61904761904762,20.571428571428573,104.92571428571429,104.92571428571429,0.5393407761828815,0.5735420240137221,111.68899538902805,96.68450040628346,15.004494982744589,1983-84_Los Angeles Lakers
1983-84,1610612749.0,Milwaukee Bucks,16,8,8,102.5,0.484,0.2880625,0.7581249999999999,12.375,30.25,42.625,22.1875,7.1875,5.0,17.75,,0.5,8,6,2,0.75,8,2,6,0.25,104.98630136986301,0.4585570776255708,0.32581192660550456,-2.486301369863014,0.02544292237442919,-0.037749426605504566,1,1.25,0.5,43.02739726027397,23.228310502283104,13.360730593607306,-0.4023972602739718,-1.0408105022831045,-4.389269406392694,37.8125,1.3125,78.4375,33.875,25.5625,98.7175,98.7175,0.4904382470119522,0.549053217987519,103.83164079317244,106.35024323940843,-2.518602446235988,1983-84_Milwaukee Bucks
1983-84,1610612751.0,New Jersey Nets,11,5,6,101.18181818181819,0.4450909090909091,0.20154545454545456,0.6841818181818181,16.636363636363637,26.818181818181817,43.45454545454545,22.0,9.909090909090908,5.181818181818182,17.0,,0.45454545454545453,5,1,4,0.2,6,4,2,0.6666666666666666,99.03636363636363,0.4515878787878788,0.3378333333333333,2.1454545454545553,-0.006496969696969723,-0.13628787878787876,1,1.2941176470588236,-0.4666666666666666,42.71515151515152,20.721212121212123,14.424242424242424,0.7393939393939348,1.2787878787878775,-2.575757575757576,37.54545454545455,1.0,84.45454545454545,36.54545454545455,25.09090909090909,100.89818181818181,100.89818181818181,0.4504843918191604,0.5032191557854379,100.28111147151044,98.15475546905972,2.12635600245072,1983-84_New Jersey Nets
1983-84,1610612752.0,New York Knicks,12,6,6,106.75,0.48825,0.1969090909090909,0.7531666666666667,14.75,27.166666666666668,41.916666666666664,23.666666666666668,8.083333333333334,4.5,17.916666666666668,,0.5,5,4,1,0.8,7,2,5,0.2857142857142857,96.4980694980695,0.44684555984555985,0.33756201550387593,10.251930501930502,0.04140444015444017,-0.14065292459478504,1,1.3209302325581396,0.5142857142857143,39.826254826254825,21.01930501930502,14.003861003861005,2.0904118404118393,2.647361647361649,-3.9128056628056633,41.25,0.4166666666666667,84.66666666666667,31.75,23.833333333333332,101.80333333333334,101.80333333333334,0.4896653543307087,0.5411273698083877,104.85904194361677,94.7887130395889,10.070328904027875,1983-84_New York Knicks
1983-84,1610612755.0,Philadelphia 76ers,5,2,3,103.8,0.4828,0.151,0.8732,11.8,25.6,37.4,20.2,8.2,7.4,21.4,,0.4,3,0,3,0.0,2,2,0,1.0,100.97356828193833,0.45809691629955945,0.32454867256637165,2.82643171806167,0.024703083700440553,-0.17354867256637166,1,0.9439252336448598,-1.0,41.409691629955944,22.259911894273127,13.290748898678414,-4.009691629955945,-2.059911894273128,-8.109251101321584,39.2,0.6,81.2,28.4,24.8,103.29599999999999,103.29599999999999,0.48645320197044334,0.5539190573770492,100.48791821561339,97.75167313539569,2.7362450802176994,1983-84_Philadelphia 76ers
1983-84,1610612756.0,Phoenix Suns,17,9,8,109.0,0.5,0.30906666666666666,0.765764705882353,13.647058823529411,29.529411764705884,43.1764705882353,27.058823529411764,7.764705882352941,4.764705882352941,15.941176470588236,,0.5294117647058824,8,5,3,0.625,9,4,5,0.4444444444444444,106.53461538461538,0.46973076923076923,0.3507799227799228,2.4653846153846217,0.03026923076923077,-0.04171325611325616,1,1.6974169741697416,0.18055555555555558,43.10769230769231,22.51923076923077,13.226923076923077,0.06877828054298618,4.5395927601809944,-2.7142533936651585,43.470588235294116,0.9411764705882353,87.29411764705883,27.647058823529413,21.11764705882353,101.7529411764706,101.7529411764706,0.5033692722371967,0.5479654601372131,107.12221066019191,104.69929827369991,2.4229123864920012,1983-84_Phoenix Suns
